OK/KO;Libellé rejet
,OK;CHEVAUCHEMENT CONTRATS 15012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 02032020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 08072020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/22112020                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/22112020                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/22112020                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 13082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 15062020/31122024                                        
,OK;ASSURE INCONNU AU FICHIER                                                       
,OK;CHANGT.DE CAISSE 764 VERS 763 -AVEC CONV                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,OK;BENEFICIAIRE NON MUTUALISTE                                                     
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;Chevauchement contrat 01012020/31122024                                         
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 17082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 15022020/31122024                                        
,Ok;CHEVAUCHEMENT CONTRATS 01042020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01042020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03052020/30042021                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 08062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 29052020/31122020                                        
,OK;CHEVAUCHEMENT CONTRATS 28082020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 28082020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 01062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01032019/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 23072020/22072021                                        
,OK;CHEVAUCHEMENT CONTRATS 10062020/09062021                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01052020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 27012020/31122024                                        
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 05062020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01082020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CONTRAT CMU OU C2S DEJA EN COURS                                                
,OK;CHEVAUCHEMENT CONTRATS 08072020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,KO;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 31082020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,KO;ANNULATION INFO OC PAR CPAM                                                     
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 04092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01022020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 06092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 02092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;CONTRAT CMU OU C2S DEJA EN COURS                                                
,KO;CONTRAT CMU OU C2S DEJA EN COURS                                                
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 02092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,KO;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,KO;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;Chevauchement contrat 01012020/31122024                                         
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 13082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 03072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03052020/30042021                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 15052020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CONTRAT CMU OU C2S DEJA EN COURS                                                
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 31082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 04092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,KO;CHANGT.DE CAISSE 931 VERS 941 -AVEC CONV                                        
,Ok;CHEVAUCHEMENT CONTRATS 08072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 08072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 09092020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;ASSURE GERE PAR UNE AUTRE CAISSE                                                
,OK;CHEVAUCHEMENT CONTRATS 08092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 08092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;INFORMATION REFUSEE: 2 CT DEJA EN COURS                                         
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;Chevauchement contrat 01012020/31082020                                         
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;CONTRAT CMU OU C2S DEJA EN COURS                                                
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01062020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 17082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 18092020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;ASSURE GERE PAR UNE AUTRE CAISSE                                                
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;CHEVAUCHEMENT CONTRATS 11092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 12032020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 11092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 10062020/09062021                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31072021                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHANGT.DE CAISSE 841 VERS 061 -AVEC CONV                                        
,OK;PERIODE DE RATTACHEMENT A ANNULER/MODIFIER NON TROUVEE EN BASE                  
,OK;Chevauchement contrat 01012020/31122024                                         
,KO;Chevauchement contrat 01092020/31122024                                         
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;ASSURE INCONNU AU FICHIER                                                       
,OK;CHEVAUCHEMENT CONTRATS 15092020/31122024                                        
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 03072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03052020/30042021                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,OK;CHANGT.DE CAISSE 751 VERS 921 -AVEC CONV                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 14092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;BENEFICIAIRE NON MUTUALISTE                                                     
,KO;BENEFICIAIRE NON MUTUALISTE                                                     
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 17032020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;ANNULATION INFO OC PAR CPAM                                                     
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CHANGT IDT. MATRICULAIRE 289069923404856                                        
,KO;CHANGT. DATE NAISSANCE BENEF. 070689                                            
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 10092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01062019/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 15092020/31122024                                        
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 16012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,OK;CHEVAUCHEMENT CONTRATS 01082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 11032019/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122020                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,KO;ANNULATION BENEFICIAIRE MUTUALISTE                                              
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;ASSURE GERE PAR UNE AUTRE CAISSE                                                
,OK;CHEVAUCHEMENT CONTRATS 08092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 08092020/31122024                                        
,OK;CHANGT.DE CAISSE 921 VERS 781 -AVEC CONV                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;INFORMATION REFUSEE: 2 CT DEJA EN COURS                                         
,OK;CHEVAUCHEMENT CONTRATS 17092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;ASSURE GERE PAR UNE AUTRE CAISSE                                                
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/30092021                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 31082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;Chevauchement contrat 01012020/31122024                                         
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 07022020/31122024                                        
,OK;PUMA BASCULE AD/OD 202061634130883                                              
,OK;CHEVAUCHEMENT CONTRATS 01022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 07092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 18092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 18092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 18092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03072020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 03052020/30042021                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 30072020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 10062020/09062021                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 19092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;PUMA BASCULE AD/OD 202073155589361                                              
,OK;CHEVAUCHEMENT CONTRATS 01072020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01092020/31082021                                        
,KO;ASSURE NON MUTUALISTE                                                           
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;Chevauchement contrat 23092020/31122024                                         
,OK;CHEVAUCHEMENT CONTRATS 03082020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 15022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 14092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;INCOMP DATE DEBUT DATE FIN DE CONTRAT                                           
,OK;CHEVAUCHEMENT CONTRATS 25092020/31122020                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 18092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/30092021                                        
,OK;CHEVAUCHEMENT CONTRATS 07092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 03092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/30092021                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 24092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 24082020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;BENEFICIAIRE INCONNU AU FICHIER                                                 
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 06012020/31122024                                        
,KO;ANNULATION INFO OC PAR CPAM                                                     
,OK;CHEVAUCHEMENT CONTRATS 01092020/31072021                                        
,KO;PERIODE A CREER EN CHEVAUCHEMENT AVEC PERIODE CONNUE EN BASE                    
,KO;CHEVAUCHEMENT CONTRATS 12092020/11092021                                        
,KO;CHEVAUCHEMENT CONTRATS 12092020/11092021                                        
,KO;ANNUL IMPOSSIBLE: RUB OC/CT NON TROUVEE                                         
,OK;CHEVAUCHEMENT CONTRATS 28092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 05062020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 15012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 02032020/31122024                                        
,OK;PUMA BASCULE AD/OD 202124221829081                                              
,OK;CHEVAUCHEMENT CONTRATS 27092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,KO;CHEVAUCHEMENT CONTRATS 01012020/07072021                                        
,KO;MODIFICATION INFO OC PAR CPAM                                                   
,OK;CHEVAUCHEMENT CONTRATS 14092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01022020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01102020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01092020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01032019/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 01012020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 11062020/31122024                                        
,OK;CHEVAUCHEMENT CONTRATS 22072020/21072021                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/22112020                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/22112020                                        
,OK;CHEVAUCHEMENT CONTRATS 13022020/22112020                                        
